id,Attribute Count,Attribute Count-rarity,Punk Type,Punk Type-rarity,Skin Tone,Skin Tone-rarity,isPersonOfColor,Full Type,Full Type-rarity,Hair,Hair-rarity,Eyes,Eyes-rarity,Facial Hair,Facial Hair-rarity,Blemishes,Blemishes-rarity,Neck Accessory,Neck Accessory-rarity,Mouth Prop,Mouth Prop-rarity,Mouth,Mouth-rarity,Nose,Nose-rarity,Ears,Ears-rarity
0,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Blonde Bob,68.02721088,Green Eye Shadow,36.900369,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
1,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Mohawk,22.67573696,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Smile,42.01680672,,1.021659174,,1.326084074
2,1,30.03003003,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Wild Hair,22.37136465,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
3,3,2.221728505,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Wild Hair,22.37136465,Nerd Glasses,17.48251748,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
4,4,7.042253521,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Wild Hair,22.37136465,Big Shades,18.69158879,Goat,33.89830508,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
5,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Half Shaved,68.02721088,Purple Eye Shadow,38.16793893,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6,1,30.03003003,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Do-rag,33.33333333,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
7,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Wild White Hair,73.52941176,Clown Eyes Blue,26.04166667,,1.539171926,Spots,80.64516129,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
8,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Messy Hair,21.73913043,,2.545824847,Luxurious Beard,34.96503497,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
9,3,2.221728505,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Police Cap,49.26108374,,2.545824847,Big Beard,68.49315068,,1.098418278,,1.038745196,,1.208459215,,1.341381623,Clown Nose,47.16981132,,1.326084074
10,2,2.808988764,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Mohawk,22.67573696,Blue Eye Shadow,37.59398496,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
11,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Straight Hair Dark,67.56756757,Clown Eyes Green,26.17801047,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Black Lipstick,16.20745543,,1.021659174,,1.326084074
12,2,2.808988764,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Blonde Short,77.51937984,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Purple Lipstick,15.26717557,,1.021659174,,1.326084074
13,3,2.221728505,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Straight Hair Blonde,69.44444444,Big Shades,18.69158879,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Black Lipstick,16.20745543,,1.021659174,,1.326084074
14,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Pilot Helmet,185.1851852,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
15,3,2.221728505,Male,1.655903295,Albino,9.823182711,0,Male-Albino,16.72240803,Wild Hair,22.37136465,Regular Shades,18.97533207,Luxurious Beard,34.96503497,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
16,3,2.221728505,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Stringy Hair,21.59827214,Small Shades,26.45502646,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
17,2,2.808988764,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Mohawk,22.67573696,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Frown,38.31417625,,1.021659174,,1.326084074
18,2,2.808988764,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,,40.6504065,Eye Mask,34.12969283,Muttonchops,33.00330033,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
19,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Bandana,20.79002079,Horned Rim Glasses,18.69158879,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
20,1,30.03003003,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Crazy Hair,24.15458937,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
21,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Messy Hair,21.73913043,Classic Shades,19.92031873,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
22,2,2.808988764,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Pilot Helmet,185.1851852,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Purple Lipstick,15.26717557,,1.021659174,,1.326084074
23,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Do-rag,33.33333333,,2.545824847,Handlebars,38.02281369,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
